t,x,y,z
27.3,28.7536,44.0761,5.06117
27.4,28.3472,44.3512,5.10682
27.5,27.9392,44.6205,5.15221
27.6,27.5296,44.8838,5.19733
27.7,27.1184,45.1412,5.24215
27.8,26.7059,45.3924,5.28663
27.9,26.292,45.6375,5.33076
28,25.877,45.8763,5.37451
28.1,25.4608,46.1088,5.41785
28.2,25.0436,46.335,5.46075
28.3,24.6255,46.5547,5.50318
28.4,24.2066,46.7679,5.54513
28.5,23.7869,46.9746,5.58657
28.6,23.3667,47.1746,5.62747
28.7,22.9459,47.368,5.6678
28.8,22.5247,47.5546,5.70754
28.9,22.1031,47.7345,5.74666
29,21.6814,47.9074,5.78513
29.1,21.2595,48.0735,5.82294
29.2,20.8376,48.2327,5.86006
29.3,20.4158,48.3848,5.89646
29.4,19.9941,48.5299,5.93211
29.5,19.5727,48.6679,5.967
29.6,19.1517,48.7987,6.00109
29.7,18.7312,48.9224,6.03437
29.8,18.3112,49.0389,6.0668
29.9,17.8919,49.1481,6.09837
30,17.4734,49.25,6.12906
30.1,17.0558,49.3446,6.15883
30.2,16.6391,49.4318,6.18767
30.3,16.2234,49.5116,6.21555
30.4,15.8089,49.584,6.24246
30.5,15.3957,49.649,6.26836
30.6,14.9838,49.7064,6.29324
30.7,14.5734,49.7564,6.31708
30.8,14.1644,49.7988,6.33986
30.9,13.7572,49.8337,6.36155
31,13.3516,49.861,6.38213
31.1,12.9479,49.8808,6.40159
31.2,12.546,49.8929,6.41991
31.3,12.1462,49.8975,6.43706
31.4,11.7484,49.8944,6.45303
31.5,11.3529,49.8836,6.46781
31.6,10.9596,49.8653,6.48136
31.7,10.5686,49.8393,6.49368
31.8,10.1801,49.8056,6.50476
31.9,9.79417,49.7643,6.51456
32,9.41082,49.7154,6.52308
32.1,9.03016,49.6588,6.53031
32.2,8.65229,49.5945,6.53622
32.3,8.27728,49.5226,6.54081
32.4,7.90522,49.4431,6.54406
32.5,7.53618,49.356,6.54595
32.6,7.17024,49.2612,6.54649
32.7,6.80749,49.1589,6.54564
32.8,6.44799,49.049,6.54341
32.9,6.09183,48.9315,6.53978
33,5.73908,48.8065,6.53475
33.1,5.3898,48.6739,6.52829
33.2,5.04408,48.5339,6.52042
33.3,4.70198,48.3864,6.51111
33.4,4.36356,48.2315,6.50035
33.5,4.02891,48.0691,6.48816
33.6,3.69807,47.8994,6.47451
33.7,3.37112,47.7224,6.4594
33.8,3.04812,47.538,6.44283
33.9,2.72913,47.3464,6.4248
34,2.4142,47.1475,6.40529
34.1,2.1034,46.9415,6.38432
34.2,1.79678,46.7284,6.36188
34.3,1.4944,46.5081,6.33796
34.4,1.19631,46.2808,6.31257
34.5,0.902557,46.0466,6.28571
34.6,0.613192,45.8054,6.25738
34.7,0.328261,45.5573,6.22759
34.8,0.0478107,45.3024,6.19634
34.9,-0.228116,45.0408,6.16362
35,-0.499479,44.7724,6.12946
35.1,-0.766237,44.4975,6.09385
35.2,-1.02835,44.216,6.0568
35.3,-1.28579,43.928,6.01832
35.4,-1.53853,43.6335,5.97842
35.5,-1.78651,43.3328,5.9371
35.6,-2.02973,43.0258,5.89439
35.7,-2.26816,42.7125,5.85028
35.8,-2.50176,42.3932,5.80481
35.9,-2.73052,42.0679,5.75796
36,-2.95441,41.7366,5.70978
36.1,-3.17343,41.3995,5.66026
36.2,-3.38754,41.0566,5.60942
36.3,-3.59675,40.7081,5.55729
36.4,-3.80104,40.354,5.50388
36.5,-4.0004,39.9944,5.44922
36.6,-4.19482,39.6295,5.39332
36.7,-4.38431,39.2593,5.3362
36.8,-4.56885,38.8839,5.27789
36.9,-4.74847,38.5035,5.21842
