t,x,y,z
22.4,44.6009,25.7109,3.155
22.5,44.1225,26.5482,3.34072
22.6,43.6269,27.3996,3.53291
22.7,43.1142,28.2648,3.73155
22.8,42.5843,29.1436,3.93661
22.9,42.0372,30.0359,4.14805
23,41.473,30.9414,4.36582
23.1,40.8916,31.8599,4.58987
23.2,40.2931,32.7911,4.82016
23.3,39.6775,33.7347,5.05661
23.4,39.0449,34.6904,5.29915
23.5,38.3955,35.658,5.54771
23.6,37.7292,36.6372,5.80221
23.7,37.0462,37.6276,6.06256
23.8,36.3466,38.6288,6.32866
23.9,35.6306,39.6406,6.60041
24,34.8984,40.6625,6.87772
24.1,34.15,41.6942,7.16045
24.2,33.3858,42.7353,7.4485
24.3,32.6059,43.7853,7.74175
24.4,31.8105,44.844,8.04005
24.5,30.9999,45.9107,8.34327
24.6,30.1743,46.9852,8.65128
24.7,29.334,48.0669,8.96392
24.8,28.4793,49.1554,9.28104
24.9,27.6105,50.2502,9.60248
25,26.7278,51.3509,9.92808
25.1,25.8317,52.4569,10.2577
25.2,24.9224,53.5677,10.5911
25.3,24.0003,54.6828,10.9281
25.4,23.0658,55.8017,11.2686
25.5,22.1193,56.9239,11.6124
25.6,21.1611,58.0487,11.9592
25.7,20.1917,59.1757,12.3089
25.8,19.2115,60.3044,12.6613
25.9,18.2209,61.434,13.0161
26,17.2203,62.5641,13.3732
26.1,16.2103,63.6941,13.7324
26.2,15.1913,64.8234,14.0933
26.3,14.1637,65.9513,14.4559
26.4,13.1281,67.0774,14.8198
26.5,12.085,68.2009,15.1849
26.6,11.0348,69.3213,15.5509
26.7,9.97809,70.4379,15.9176
26.8,8.91543,71.5501,16.2847
26.9,7.84734,72.6573,16.6521
27,6.77435,73.7589,17.0194
27.1,5.69703,74.8543,17.3864
27.2,4.61595,75.9427,17.7529
27.3,3.53167,77.0236,18.1186
27.4,2.44477,78.0962,18.4833
27.5,1.35584,79.1601,18.8468
27.6,0.265476,80.2145,19.2087
27.7,-0.825734,81.2587,19.5688
27.8,-1.91718,82.2922,19.9269
27.9,-3.00826,83.3143,20.2826
28,-4.09836,84.3243,20.6359
28.1,-5.18687,85.3217,20.9863
28.2,-6.27316,86.3057,21.3337
28.3,-7.35661,87.2757,21.6777
28.4,-8.4366,88.2311,22.0182
28.5,-9.51249,89.1712,22.3548
28.6,-10.5837,90.0955,22.6874
28.7,-11.6495,91.0033,23.0156
28.8,-12.7093,91.8939,23.3392
28.9,-13.7626,92.7668,23.658
29,-14.8086,93.6214,23.9716
29.1,-15.8467,94.457,24.2799
29.2,-16.8763,95.273,24.5826
29.3,-17.8968,96.0688,24.8794
29.4,-18.9076,96.8439,25.1702
29.5,-19.908,97.5977,25.4546
29.6,-20.8974,98.3296,25.7324
29.7,-21.8752,99.039,26.0034
29.8,-22.8407,99.7254,26.2674
29.9,-23.7935,100.388,26.5241
30,-24.7328,101.027,26.7732
30.1,-25.6581,101.641,27.0147
30.2,-26.5688,102.23,27.2482
30.3,-27.4644,102.794,27.4735
30.4,-28.3442,103.331,27.6905
30.5,-29.2076,103.841,27.8988
30.6,-30.0542,104.325,28.0984
30.7,-30.8833,104.781,28.289
30.8,-31.6944,105.209,28.4704
30.9,-32.4871,105.609,28.6424
31,-33.2607,105.979,28.8048
31.1,-34.0148,106.321,28.9575
31.2,-34.7488,106.633,29.1004
31.3,-35.4623,106.915,29.2331
31.4,-36.1548,107.167,29.3556
31.5,-36.8259,107.388,29.4676
31.6,-37.475,107.578,29.5692
31.7,-38.1017,107.737,29.66
31.8,-38.7057,107.864,29.74
31.9,-39.2865,107.959,29.8091
32,-39.8437,108.023,29.867
32.1,-40.3769,108.054,29.9138
32.2,-40.8858,108.052,29.9493
32.3,-41.37,108.018,29.9733
32.4,-41.8292,107.95,29.9859
32.5,-42.263,107.85,29.9868
32.6,-42.6712,107.716,29.9761
32.7,-43.0534,107.549,29.9536
32.8,-43.4095,107.349,29.9193
32.9,-43.7392,107.115,29.8732
33,-44.0421,106.847,29.8151
33.1,-44.3182,106.546,29.7451
33.2,-44.5672,106.211,29.6631
33.3,-44.7889,105.842,29.5691
33.4,-44.9833,105.44,29.4631
33.5,-45.1501,105.004,29.3451
33.6,-45.2892,104.535,29.215
33.7,-45.4006,104.032,29.0729
33.8,-45.4842,103.496,28.9188
33.9,-45.5399,102.927,28.7528
34,-45.5677,102.325,28.5748
34.1,-45.5676,101.69,28.385
34.2,-45.5395,101.022,28.1833
34.3,-45.4836,100.322,27.9699
34.4,-45.3998,99.5895,27.7449
34.5,-45.2883,98.8252,27.5082
34.6,-45.1491,98.0294,27.26
34.7,-44.9824,97.2022,27.0004
34.8,-44.7883,96.3441,26.7296
34.9,-44.567,95.4554,26.4476
35,-44.3186,94.5364,26.1545
35.1,-44.0434,93.5877,25.8506
35.2,-43.7416,92.6096,25.5359
35.3,-43.4134,91.6025,25.2107
35.4,-43.0591,90.567,24.875
35.5,-42.6791,89.5036,24.5292
35.6,-42.2736,88.4127,24.1732
35.7,-41.843,87.2949,23.8075
35.8,-41.3876,86.1508,23.432
35.9,-40.9079,84.9809,23.0472
36,-40.4042,83.7859,22.6531
36.1,-39.877,82.5664,22.2501
36.2,-39.3267,81.3231,21.8384
36.3,-38.7539,80.0566,21.4182
36.4,-38.1589,78.7676,20.9897
36.5,-37.5424,77.4568,20.5533
36.6,-36.9049,76.125,20.1093
36.7,-36.2469,74.7729,19.6578
36.8,-35.569,73.4013,19.1993
36.9,-34.8719,72.011,18.734
37,-34.1561,70.6028,18.2622
37.1,-33.4223,69.1776,17.7842
37.2,-32.6712,67.7361,17.3004
37.3,-31.9034,66.2793,16.8111
37.4,-31.1196,64.808,16.3166
37.5,-30.3206,63.3231,15.8173
37.6,-29.5071,61.8256,15.3135
37.7,-28.6799,60.3164,14.8057
37.8,-27.8397,58.7965,14.2941
37.9,-26.9874,57.2667,13.7791
38,-26.1236,55.7282,13.2612
38.1,-25.2494,54.1818,12.7406
38.2,-24.3654,52.6286,12.2179
38.3,-23.4726,51.0696,11.6934
38.4,-22.5718,49.5058,11.1674
38.5,-21.6639,47.9383,10.6405
38.6,-20.7498,46.3681,10.113
38.7,-19.8304,44.7963,9.58526
38.8,-18.9066,43.2239,9.05782
38.9,-17.9793,41.652,8.53104
39,-17.0495,40.0817,8.00537
39.1,-16.1182,38.5142,7.48122
39.2,-15.1862,36.9504,6.95903
39.3,-14.2545,35.3914,6.43923
39.4,-13.3241,33.8385,5.92225
39.5,-12.396,32.2926,5.40854
39.6,-11.4711,30.755,4.89853
39.7,-10.5505,29.2266,4.39266
39.8,-9.63509,27.7086,3.89136
39.9,-8.72585,26.2021,3.39507
40,-7.8238,24.7082,2.90424
40.1,-6.9299,23.228,2.41929
40.2,-6.04515,21.7626,1.94066
40.3,-5.17051,20.3131,1.46878
40.4,-4.30697,18.8805,1.00408
40.5,-3.4555,17.4659,0.54698
40.6,-2.61706,16.0704,0.0979085
40.7,-1.7926,14.695,-0.34272
40.8,-0.983068,13.3408,-0.774493
40.9,-0.189403,12.0088,-1.197
41,0.587473,10.6999,-1.60985
41.1,1.34665,9.41519,-2.01264
41.2,2.08723,8.15563,-2.40498
41.3,2.80833,6.92216,-2.7865
41.4,3.50909,5.71571,-3.15681
41.5,4.18866,4.53719,-3.51557
41.6,4.84621,3.38748,-3.86241
41.7,5.48095,2.26746,-4.197
41.8,6.09208,1.17794,-4.51899
41.9,6.67885,0.119753,-4.82806
42,7.24053,-0.906338,-5.12391
42.1,7.77641,-1.89958,-5.40624
42.2,8.2858,-2.85925,-5.67475
42.3,8.76805,-3.78467,-5.92918
42.4,9.22256,-4.67519,-6.16927
42.5,9.64871,-5.53019,-6.39476
42.6,10.046,-6.34908,-6.60544
42.7,10.4138,-7.13133,-6.80108
